Algoritmo,Version,n,Resultado,Tiempo_ms
Fibonacci,Iterativo,5,5,0.000990
Fibonacci,Iterativo,10,55,0.000430
Fibonacci,Iterativo,15,610,0.000500
Fibonacci,Iterativo,20,6765,0.000530
Fibonacci,Iterativo,25,75025,0.000560
Fibonacci,Iterativo,30,832040,0.000950
Fibonacci,Recursivo,5,5,0.001270
Fibonacci,Recursivo,10,55,0.013920
Fibonacci,Recursivo,15,610,0.043380
Fibonacci,Recursivo,20,6765,0.032490
Fibonacci,Recursivo,25,75025,0.446130
Fibonacci,Recursivo,30,832040,4.082380
Factorial,Iterativo,5,120,0.127100
Factorial,Iterativo,10,3628800,0.000270
Factorial,Iterativo,15,1307674368000,0.000410
Factorial,Iterativo,20,2432902008176640000,0.000370
Factorial,Iterativo,25,7034535277573963776,0.000380
Factorial,Iterativo,30,-8764578968847253504,0.001340
Factorial,Recursivo,5,120,0.000580
Factorial,Recursivo,10,3628800,0.000670
Factorial,Recursivo,15,1307674368000,0.001050
Factorial,Recursivo,20,2432902008176640000,0.001710
Factorial,Recursivo,25,7034535277573963776,0.000300
Factorial,Recursivo,30,-8764578968847253504,0.000310
BusquedaLineal,Iterativo,5,0,0.000520
BusquedaLineal,Iterativo,10,1,0.000170
BusquedaLineal,Iterativo,15,2,0.000250
BusquedaLineal,Iterativo,20,3,0.000250
BusquedaLineal,Iterativo,25,4,0.000300
BusquedaLineal,Iterativo,30,5,0.000360
BusquedaLineal,Recursivo,5,0,0.000690
BusquedaLineal,Recursivo,10,1,0.000200
BusquedaLineal,Recursivo,15,2,0.000280
BusquedaLineal,Recursivo,20,3,0.000220
BusquedaLineal,Recursivo,25,4,0.000500
BusquedaLineal,Recursivo,30,5,0.000380
